# CoR_mean CED_mean Epsilon_mean Mu_mean CoR_std CED_std Epsilon_std Mu_std overall_std
7.405555773876304482e-01 3.529179864951180190e-01 6.665572973706668236e-01 -1.723864058517091680e-01 3.787754125134384364e-01 2.228298487555356033e-01 4.284944180627373589e-01 3.699700745198982732e-01 4.957524295122698876e-01
8.402007989357024309e-01 3.580899634813397014e-01 9.424014989334223991e-01 -6.737683319279756944e-01 4.349991779573764705e-01 2.525970992869381315e-01 5.039993147412458185e-01 5.020888946773993666e-01 5.746027685498983351e-01
6.744414467921524547e-01 4.572009676881162998e-01 1.243685122092639705e+00 -6.029339802501679779e-01 3.817583575794166184e-01 2.467882555128725897e-01 5.632795603233494708e-01 5.289686373276478726e-01 5.861143153747743195e-01
7.523964690677250600e-01 5.631989042058590522e-01 1.198782635699815691e+00 -6.695334441791500613e-01 3.130559708375288408e-01 2.244241596489233714e-01 5.132066869875809845e-01 4.774647940156944159e-01 5.525517802968300529e-01
7.808597513756784236e-01 4.938446974695535063e-01 1.224029653097594705e+00 -9.887849630909985033e-01 2.867479419500124083e-01 1.851027107659928839e-01 4.937821951063518511e-01 4.673436488088134610e-01 5.375473138821381669e-01
7.172877069330995115e-01 3.606275154003369399e-01 1.238028693181302486e+00 -1.064417152354321772e+00 2.632475901485243353e-01 1.744478592308432718e-01 4.393852828853890835e-01 4.328169445931583925e-01 5.226262957961873568e-01
6.807967735198288128e-01 4.865602889941675890e-01 1.099790826945889588e+00 -9.840773143692056468e-01 2.196730386996911533e-01 1.482653775822158071e-01 3.973579375784248580e-01 3.395738244961802876e-01 4.522208424704328156e-01
7.034717318135026431e-01 4.721247060902903914e-01 1.217049195486690438e+00 -1.242466526010415961e+00 1.976975700768388577e-01 1.392899220602711596e-01 3.676947846134378528e-01 3.233084883639104623e-01 4.412532490037425204e-01
7.980264846363067655e-01 4.090487733408804116e-01 1.225953206746991819e+00 -1.209742821805144253e+00 1.617635592173328474e-01 1.220095171101665682e-01 3.300263933328653754e-01 2.646459825763410878e-01 3.903646265226708989e-01
8.129160586686364764e-01 4.731406844473278750e-01 1.117866919222507915e+00 -1.159385092418242280e+00 1.432361970678146801e-01 1.196669307300867735e-01 3.194754908022476303e-01 2.497651194116106144e-01 3.846998272821814946e-01
6.946165464901058462e-01 5.315697983449664266e-01 1.249808869914784903e+00 -1.234552300156561921e+00 1.356467646631165647e-01 1.087943014005505193e-01 2.911832593574931738e-01 2.183676627159852057e-01 3.591533603811699615e-01
8.118383260104539145e-01 4.912323679674063803e-01 1.204449338289193649e+00 -1.170888634137006834e+00 1.296167062321877395e-01 1.106450301328196495e-01 3.189593565322274005e-01 2.625290329869419126e-01 3.857264107078942628e-01
7.505746893931206642e-01 5.189099904055134438e-01 1.216457026710151546e+00 -1.167280527455195616e+00 1.123088449910388809e-01 9.645964553610347769e-02 2.910526667911492726e-01 2.445581218519091160e-01 3.603361789911075919e-01
7.399734165212286108e-01 5.253027240935755904e-01 1.230227915392190674e+00 -1.182580384571760179e+00 8.437334223117408383e-02 7.176766732978437369e-02 2.319224255936765400e-01 1.939208955545262680e-01 2.945548222256253457e-01
7.112420717508751711e-01 5.277039943031629488e-01 1.248780391949557478e+00 -1.163429411647931566e+00 6.192099618838488306e-02 5.523744564155353559e-02 1.919664669516769062e-01 1.509618486003136695e-01 2.468138648742811136e-01
7.353125696502028630e-01 4.733744508117372907e-01 1.248782591753438975e+00 -1.238808591500194289e+00 6.053629309322985236e-02 5.454564344837036644e-02 1.753221431440320222e-01 1.397298221126422324e-01 2.418459540303451727e-01
