# CoR_mean CED_mean Epsilon_mean Mu_mean CoR_std CED_std Epsilon_std Mu_std overall_std
2.962222309550521793e+00 1.411671945980472076e+00 2.666229189482667294e+00 -6.895456234068366719e-01 1.515101650053753746e+00 8.913193950221424133e-01 1.713977672250949436e+00 1.479880298079593093e+00 4.957524295122698876e-01
3.360803195742809724e+00 1.432359853925358806e+00 3.769605995733689596e+00 -2.695073327711902778e+00 1.739996711829505882e+00 1.010388397147752526e+00 2.015997258964983274e+00 2.008355578709597467e+00 5.746027685498983351e-01
2.697765787168609819e+00 1.828803870752465199e+00 4.974740488370558822e+00 -2.411735921000671912e+00 1.527033430317666474e+00 9.871530220514903586e-01 2.253118241293397883e+00 2.115874549310591490e+00 5.861143153747743195e-01
3.009585876270900240e+00 2.252795616823436209e+00 4.795130542799262763e+00 -2.678133776716600245e+00 1.252223883350115363e+00 8.976966385956934857e-01 2.052826747950323938e+00 1.909859176062777664e+00 5.525517802968300529e-01
3.123439005502713695e+00 1.975378789878214025e+00 4.896118612390378821e+00 -3.955139852363994013e+00 1.146991767800049633e+00 7.404108430639715355e-01 1.975128780425407404e+00 1.869374595235253844e+00 5.375473138821381669e-01
2.869150827732398046e+00 1.442510061601347759e+00 4.952114772725209946e+00 -4.257668609417287087e+00 1.052990360594097341e+00 6.977914369233730874e-01 1.757541131541556334e+00 1.731267778372633570e+00 5.226262957961873568e-01
2.723187094079315251e+00 1.946241155976670356e+00 4.399163307783558352e+00 -3.936309257476822587e+00 8.786921547987646131e-01 5.930615103288632284e-01 1.589431750313699432e+00 1.358295297984721151e+00 4.522208424704328156e-01
2.813886927254010573e+00 1.888498824361161565e+00 4.868196781946761753e+00 -4.969866104041663846e+00 7.907902803073554310e-01 5.571596882410846385e-01 1.470779138453751411e+00 1.293233953455641849e+00 4.412532490037425204e-01
3.192105938545227062e+00 1.636195093363521647e+00 4.903812826987967277e+00 -4.838971287220577011e+00 6.470542368693313895e-01 4.880380684406662728e-01 1.320105573331461501e+00 1.058583930305364351e+00 3.903646265226708989e-01
3.251664234674545906e+00 1.892562737789311500e+00 4.471467676890031662e+00 -4.637540369672969121e+00 5.729447882712587203e-01 4.786677229203470940e-01 1.277901963208990521e+00 9.990604776464424575e-01 3.846998272821814946e-01
2.778466185960423385e+00 2.126279193379865706e+00 4.999235479659139614e+00 -4.938209200626247686e+00 5.425870586524662587e-01 4.351772056022020774e-01 1.164733037429972695e+00 8.734706508639408229e-01 3.591533603811699615e-01
3.247353304041815658e+00 1.964929471869625521e+00 4.817797353156774598e+00 -4.683554536548027336e+00 5.184668249287509578e-01 4.425801205312785980e-01 1.275837426128909602e+00 1.050116131947767650e+00 3.857264107078942628e-01
3.002298757572482657e+00 2.075639961622053775e+00 4.865828106840606182e+00 -4.669122109820782462e+00 4.492353799641555234e-01 3.858385821444139108e-01 1.164210667164597091e+00 9.782324874076364640e-01 3.603361789911075919e-01
2.959893666084914443e+00 2.101210896374302362e+00 4.920911661568762696e+00 -4.730321538287040717e+00 3.374933689246963353e-01 2.870706693191374947e-01 9.276897023747061599e-01 7.756835822181050721e-01 2.945548222256253457e-01
2.844968287003500684e+00 2.110815977212651795e+00 4.995121567798229911e+00 -4.653717646591726265e+00 2.476839847535395323e-01 2.209497825662141424e-01 7.678658678067076249e-01 6.038473944012546779e-01 2.468138648742811136e-01
2.941250278600811452e+00 1.893497803246949163e+00 4.995130367013755901e+00 -4.955234366000777158e+00 2.421451723729194094e-01 2.181825737934814657e-01 7.012885725761280886e-01 5.589192884505689296e-01 2.418459540303451727e-01
2.986042838584534120e+00 2.005151178525490518e+00 4.995428438573165764e+00 -4.906973405800399313e+00 1.818741962346999697e-01 1.615123035460033218e-01 5.490942596888364058e-01 4.582092033006979204e-01 2.058000709263317074e-01
2.982124837252089655e+00 1.948906731174057549e+00 4.987199333245199817e+00 -4.992967371806475541e+00 1.617289485699122675e-01 1.439968395046950234e-01 4.889761264048246292e-01 3.652333220898369426e-01 1.854455099181332167e-01
2.995851651568642193e+00 1.982878553775434316e+00 4.997330847294292333e+00 -4.996182408859626278e+00 1.305037675361534200e-01 1.075214182596501561e-01 3.775456461437916023e-01 2.801869994300629774e-01 1.524079176596859764e-01
2.914138388111205291e+00 2.062658263462412211e+00 4.997205149524511114e+00 -4.996268632550003197e+00 1.064764295618783468e-01 1.004510023766340271e-01 3.249874991839923899e-01 2.488341983421604453e-01 1.391087505785761347e-01
2.968771335902871122e+00 2.015957105055301124e+00 4.956867021793859962e+00 -4.997171876008843050e+00 8.634338205885275230e-02 8.869396112431594814e-02 2.815713523459564271e-01 2.144535857019736480e-01 1.252023520196325901e-01
3.002782962911544118e+00 2.016553633933187761e+00 4.996061270369392737e+00 -4.974051408179816391e+00 7.463058710527434303e-02 7.111606814061226245e-02 2.290032119470568339e-01 1.834623442711820762e-01 1.088932086284822992e-01
